"product_id","laboratory_id","type","created_at","updated_at"
11844,2000274,MANUFACTURER,2024-05-29 15:03:29.282 +0200,2024-05-29 15:03:29.282 +0200
11845,2000274,MANUFACTURER,2024-05-29 15:03:29.365 +0200,2024-05-29 15:03:29.365 +0200
11846,2000274,MANUFACTURER,2024-05-29 15:03:29.442 +0200,2024-05-29 15:03:29.442 +0200
3043,2000101,COMERCIALIZER,2025-01-21 17:54:19.623 +0100,2025-01-21 17:54:19.623 +0100
9630,963,COMERCIALIZER,2023-12-04 15:43:03.777 +0100,2023-12-04 15:43:03.777 +0100
8385,976,COMERCIALIZER,2023-12-04 15:43:03.875 +0100,2023-12-04 15:43:03.875 +0100
9049,976,COMERCIALIZER,2023-12-04 15:43:03.969 +0100,2023-12-04 15:43:03.969 +0100
11847,2000274,MANUFACTURER,2024-05-29 15:03:29.508 +0200,2024-05-29 15:03:29.508 +0200
11848,2000274,COMERCIALIZER,2024-05-29 15:03:29.577 +0200,2024-05-29 15:03:29.577 +0200
11850,2000274,MANUFACTURER,2024-05-29 15:03:29.646 +0200,2024-05-29 15:03:29.646 +0200
11564,2000274,COMERCIALIZER,2024-05-29 15:03:32.490 +0200,2024-05-29 15:03:32.490 +0200
11578,2000274,COMERCIALIZER,2024-05-29 15:03:33.722 +0200,2024-05-29 15:03:33.722 +0200
11572,2000274,MANUFACTURER,2024-05-29 15:03:33.788 +0200,2024-05-29 15:03:33.788 +0200
11598,2000274,COMERCIALIZER,2024-05-29 15:03:33.978 +0200,2024-05-29 15:03:33.978 +0200
11581,2000274,MANUFACTURER,2024-05-29 15:03:34.055 +0200,2024-05-29 15:03:34.055 +0200
11582,2000274,MANUFACTURER,2024-05-29 15:03:34.133 +0200,2024-05-29 15:03:34.133 +0200
11583,2000274,COMERCIALIZER,2024-05-29 15:03:34.191 +0200,2024-05-29 15:03:34.191 +0200
11567,2000274,COMERCIALIZER,2024-05-29 15:03:34.252 +0200,2024-05-29 15:03:34.252 +0200
6088,992,COMERCIALIZER,2023-12-04 15:43:05.949 +0100,2023-12-04 15:43:05.949 +0100
530,2000056,COMERCIALIZER,2025-01-21 17:48:24.398 +0100,2025-01-21 17:48:24.398 +0100
1150,2000018,COMERCIALIZER,2025-01-21 17:48:26.772 +0100,2025-01-21 17:48:26.772 +0100
1203,2000123,COMERCIALIZER,2025-01-21 17:48:27.254 +0100,2025-01-21 17:48:27.254 +0100
8445,8006,COMERCIALIZER,2023-12-04 15:43:06.362 +0100,2023-12-04 15:43:06.362 +0100
6655,952,COMERCIALIZER,2023-12-04 15:43:06.467 +0100,2023-12-04 15:43:06.467 +0100
1255,2000131,COMERCIALIZER,2025-01-21 17:48:27.516 +0100,2025-01-21 17:48:27.516 +0100
1257,2000131,COMERCIALIZER,2025-01-21 17:48:27.705 +0100,2025-01-21 17:48:27.705 +0100
1260,2000131,COMERCIALIZER,2025-01-21 17:48:28.068 +0100,2025-01-21 17:48:28.068 +0100
1262,2000025,COMERCIALIZER,2025-01-21 17:48:28.290 +0100,2025-01-21 17:48:28.290 +0100
1520,2000157,COMERCIALIZER,2025-01-21 17:48:30.936 +0100,2025-01-21 17:48:30.936 +0100
1522,2000075,COMERCIALIZER,2025-01-21 17:48:31.409 +0100,2025-01-21 17:48:31.409 +0100
1524,2000011,COMERCIALIZER,2025-01-21 17:48:31.720 +0100,2025-01-21 17:48:31.720 +0100
3046,2000039,COMERCIALIZER,2025-01-21 17:54:19.965 +0100,2025-01-21 17:54:19.965 +0100
1575,2000061,COMERCIALIZER,2025-01-21 17:48:32.307 +0100,2025-01-21 17:48:32.307 +0100
1578,2000071,COMERCIALIZER,2025-01-21 17:48:32.690 +0100,2025-01-21 17:48:32.690 +0100
7036,934,COMERCIALIZER,2023-12-04 15:43:07.492 +0100,2023-12-04 15:43:07.492 +0100
1680,2000018,COMERCIALIZER,2025-01-21 17:48:32.988 +0100,2025-01-21 17:48:32.988 +0100
1734,2000070,COMERCIALIZER,2025-01-21 17:48:33.260 +0100,2025-01-21 17:48:33.260 +0100
7042,934,COMERCIALIZER,2023-12-04 15:43:07.800 +0100,2023-12-04 15:43:07.800 +0100
7044,934,COMERCIALIZER,2023-12-04 15:43:07.904 +0100,2023-12-04 15:43:07.904 +0100
7048,934,COMERCIALIZER,2023-12-04 15:43:08.093 +0100,2023-12-04 15:43:08.093 +0100
11710,2000274,COMERCIALIZER,2024-05-29 15:03:18.021 +0200,2024-05-29 15:03:18.021 +0200
11744,2000274,COMERCIALIZER,2024-05-29 15:03:18.148 +0200,2024-05-29 15:03:18.148 +0200
11544,2000274,MANUFACTURER,2024-05-29 15:03:18.235 +0200,2024-05-29 15:03:18.235 +0200
5349,919,COMERCIALIZER,2023-12-04 15:46:50.690 +0100,2023-12-04 15:46:50.690 +0100
2917,2000099,COMERCIALIZER,2025-01-21 17:54:07.209 +0100,2025-01-21 17:54:07.209 +0100
2919,2000099,COMERCIALIZER,2025-01-21 17:54:07.466 +0100,2025-01-21 17:54:07.466 +0100
2931,2000087,COMERCIALIZER,2025-01-21 17:54:09.259 +0100,2025-01-21 17:54:09.259 +0100
2934,2000000,COMERCIALIZER,2025-01-21 17:54:09.407 +0100,2025-01-21 17:54:09.407 +0100
5207,976,COMERCIALIZER,2023-12-04 15:44:50.209 +0100,2023-12-04 15:44:50.209 +0100
2936,2000224,COMERCIALIZER,2025-01-21 17:54:09.520 +0100,2025-01-21 17:54:09.520 +0100
5351,919,COMERCIALIZER,2023-12-04 15:46:50.910 +0100,2023-12-04 15:46:50.910 +0100
11767,2000274,COMERCIALIZER,2024-05-29 15:03:18.328 +0200,2024-05-29 15:03:18.328 +0200
5347,919,COMERCIALIZER,2023-12-04 15:46:51.196 +0100,2023-12-04 15:46:51.196 +0100
13508,2000174,COMERCIALIZER,2024-11-29 12:51:21.338 +0100,2024-11-29 12:51:21.338 +0100
2938,2000144,COMERCIALIZER,2025-01-21 17:54:09.640 +0100,2025-01-21 17:54:09.640 +0100
2940,2000055,COMERCIALIZER,2025-01-21 17:54:09.791 +0100,2025-01-21 17:54:09.791 +0100
5345,919,COMERCIALIZER,2023-12-04 15:46:51.467 +0100,2023-12-04 15:46:51.467 +0100
9377,919,COMERCIALIZER,2023-12-04 15:46:51.555 +0100,2023-12-04 15:46:51.555 +0100
9375,919,COMERCIALIZER,2023-12-04 15:46:51.753 +0100,2023-12-04 15:46:51.753 +0100
8749,751,COMERCIALIZER,2023-12-04 15:46:51.919 +0100,2023-12-04 15:46:51.919 +0100
8751,751,COMERCIALIZER,2023-12-04 15:46:52.056 +0100,2023-12-04 15:46:52.056 +0100
11542,2000274,MANUFACTURER,2024-05-29 15:03:18.607 +0200,2024-05-29 15:03:18.607 +0200
8808,898,COMERCIALIZER,2023-12-04 15:46:52.397 +0100,2023-12-04 15:46:52.397 +0100
9390,8000,COMERCIALIZER,2023-12-04 15:46:52.535 +0100,2023-12-04 15:46:52.535 +0100
9588,8000,COMERCIALIZER,2023-12-04 15:46:52.635 +0100,2023-12-04 15:46:52.635 +0100
2943,2000055,COMERCIALIZER,2025-01-21 17:54:10.315 +0100,2025-01-21 17:54:10.315 +0100
9393,8000,COMERCIALIZER,2023-12-04 15:46:52.736 +0100,2023-12-04 15:46:52.736 +0100
2946,2000055,COMERCIALIZER,2025-01-21 17:54:10.612 +0100,2025-01-21 17:54:10.612 +0100
3029,2000080,COMERCIALIZER,2025-01-21 17:54:18.345 +0100,2025-01-21 17:54:18.345 +0100
3033,2000074,COMERCIALIZER,2025-01-21 17:54:18.536 +0100,2025-01-21 17:54:18.536 +0100
9378,8000,COMERCIALIZER,2023-12-04 15:46:52.838 +0100,2023-12-04 15:46:52.838 +0100
3035,2000074,COMERCIALIZER,2025-01-21 17:54:18.730 +0100,2025-01-21 17:54:18.730 +0100
3037,2000074,COMERCIALIZER,2025-01-21 17:54:18.960 +0100,2025-01-21 17:54:18.960 +0100
8545,8000,COMERCIALIZER,2023-12-04 15:46:52.932 +0100,2023-12-04 15:46:52.932 +0100
11854,2000274,COMERCIALIZER,2024-05-29 15:03:18.697 +0200,2024-05-29 15:03:18.697 +0200
9315,8000,COMERCIALIZER,2023-12-04 15:46:53.104 +0100,2023-12-04 15:46:53.104 +0100
3039,2000177,COMERCIALIZER,2025-01-21 17:54:19.104 +0100,2025-01-21 17:54:19.104 +0100
4790,2000065,COMERCIALIZER,2025-01-21 17:54:19.262 +0100,2025-01-21 17:54:19.262 +0100
3042,2000074,COMERCIALIZER,2025-01-21 17:54:19.513 +0100,2025-01-21 17:54:19.513 +0100
9380,8000,COMERCIALIZER,2023-12-04 15:46:53.201 +0100,2023-12-04 15:46:53.201 +0100
3044,2000101,COMERCIALIZER,2025-01-21 17:54:19.744 +0100,2025-01-21 17:54:19.744 +0100
3047,2000114,COMERCIALIZER,2025-01-21 17:54:20.126 +0100,2025-01-21 17:54:20.126 +0100
3050,2000226,COMERCIALIZER,2025-01-21 17:54:20.488 +0100,2025-01-21 17:54:20.488 +0100
3052,2000226,COMERCIALIZER,2025-01-21 17:54:20.678 +0100,2025-01-21 17:54:20.678 +0100
3054,2000226,COMERCIALIZER,2025-01-21 17:54:20.870 +0100,2025-01-21 17:54:20.870 +0100
3056,2000097,COMERCIALIZER,2025-01-21 17:54:21.004 +0100,2025-01-21 17:54:21.004 +0100
3058,2000061,COMERCIALIZER,2025-01-21 17:54:21.171 +0100,2025-01-21 17:54:21.171 +0100
3060,2000006,COMERCIALIZER,2025-01-21 17:54:21.360 +0100,2025-01-21 17:54:21.360 +0100
2944,2000042,COMERCIALIZER,2025-01-21 17:54:21.613 +0100,2025-01-21 17:54:21.613 +0100
3064,2000098,COMERCIALIZER,2025-01-21 17:54:21.954 +0100,2025-01-21 17:54:21.954 +0100
13541,2000174,COMERCIALIZER,2025-01-21 17:54:22.254 +0100,2025-01-21 17:54:22.254 +0100
3069,2000098,COMERCIALIZER,2025-01-21 17:54:22.659 +0100,2025-01-21 17:54:22.659 +0100
3071,2000161,COMERCIALIZER,2025-01-21 17:54:23.071 +0100,2025-01-21 17:54:23.071 +0100
3073,2000161,COMERCIALIZER,2025-01-21 17:54:23.433 +0100,2025-01-21 17:54:23.433 +0100
3075,2000042,COMERCIALIZER,2025-01-21 17:54:23.755 +0100,2025-01-21 17:54:23.755 +0100
3077,2000144,COMERCIALIZER,2025-01-21 17:54:23.945 +0100,2025-01-21 17:54:23.945 +0100
3080,2000144,COMERCIALIZER,2025-01-21 17:54:24.136 +0100,2025-01-21 17:54:24.136 +0100
3082,2000156,COMERCIALIZER,2025-01-21 17:54:24.286 +0100,2025-01-21 17:54:24.286 +0100
13509,2000038,MANUFACTURER,2024-11-29 12:51:21.616 +0100,2024-11-29 12:51:21.616 +0100
3084,2000073,COMERCIALIZER,2025-01-21 17:54:24.638 +0100,2025-01-21 17:54:24.638 +0100
3086,2000073,COMERCIALIZER,2025-01-21 17:54:24.814 +0100,2025-01-21 17:54:24.814 +0100
2567,2000079,COMERCIALIZER,2025-01-21 17:48:16.939 +0100,2025-01-21 17:48:16.939 +0100
3087,2000024,COMERCIALIZER,2025-01-21 17:54:25.012 +0100,2025-01-21 17:54:25.012 +0100
3090,2000056,COMERCIALIZER,2025-01-21 17:54:25.431 +0100,2025-01-21 17:54:25.431 +0100
3093,2000056,COMERCIALIZER,2025-01-21 17:54:25.599 +0100,2025-01-21 17:54:25.599 +0100
3095,2000056,COMERCIALIZER,2025-01-21 17:54:25.775 +0100,2025-01-21 17:54:25.775 +0100
786,2000012,COMERCIALIZER,2025-01-21 17:48:17.309 +0100,2025-01-21 17:48:17.309 +0100
3097,2000056,COMERCIALIZER,2025-01-21 17:54:25.946 +0100,2025-01-21 17:54:25.946 +0100
3099,2000056,COMERCIALIZER,2025-01-21 17:54:26.105 +0100,2025-01-21 17:54:26.105 +0100
3104,2000089,COMERCIALIZER,2025-01-21 17:54:26.268 +0100,2025-01-21 17:54:26.268 +0100
3106,8020,COMERCIALIZER,2025-01-21 17:54:26.473 +0100,2025-01-21 17:54:26.473 +0100
157,2000089,COMERCIALIZER,2025-01-21 17:54:26.619 +0100,2025-01-21 17:54:26.619 +0100
3130,2000135,COMERCIALIZER,2025-01-21 17:54:28.800 +0100,2025-01-21 17:54:28.800 +0100
3133,2000145,COMERCIALIZER,2025-01-21 17:54:28.989 +0100,2025-01-21 17:54:28.989 +0100
3135,2000000,COMERCIALIZER,2025-01-21 17:54:29.169 +0100,2025-01-21 17:54:29.169 +0100
3137,2000177,COMERCIALIZER,2025-01-21 17:54:29.371 +0100,2025-01-21 17:54:29.371 +0100
3138,2000058,COMERCIALIZER,2025-01-21 17:54:29.545 +0100,2025-01-21 17:54:29.545 +0100
3140,2000058,COMERCIALIZER,2025-01-21 17:54:29.705 +0100,2025-01-21 17:54:29.705 +0100
3142,2000058,COMERCIALIZER,2025-01-21 17:54:29.934 +0100,2025-01-21 17:54:29.934 +0100
3144,2000058,COMERCIALIZER,2025-01-21 17:54:30.135 +0100,2025-01-21 17:54:30.135 +0100
3146,2000058,COMERCIALIZER,2025-01-21 17:54:30.416 +0100,2025-01-21 17:54:30.416 +0100
3148,2000058,COMERCIALIZER,2025-01-21 17:54:30.569 +0100,2025-01-21 17:54:30.569 +0100
3150,2000058,COMERCIALIZER,2025-01-21 17:54:30.748 +0100,2025-01-21 17:54:30.748 +0100
3153,2000058,COMERCIALIZER,2025-01-21 17:54:30.951 +0100,2025-01-21 17:54:30.951 +0100
3155,2000058,COMERCIALIZER,2025-01-21 17:54:31.152 +0100,2025-01-21 17:54:31.152 +0100
3157,2000058,COMERCIALIZER,2025-01-21 17:54:31.384 +0100,2025-01-21 17:54:31.384 +0100
3159,2000058,COMERCIALIZER,2025-01-21 17:54:31.685 +0100,2025-01-21 17:54:31.685 +0100
3161,2000058,COMERCIALIZER,2025-01-21 17:54:31.830 +0100,2025-01-21 17:54:31.830 +0100
3163,2000058,COMERCIALIZER,2025-01-21 17:54:31.984 +0100,2025-01-21 17:54:31.984 +0100
3165,2000058,COMERCIALIZER,2025-01-21 17:54:32.177 +0100,2025-01-21 17:54:32.177 +0100
3167,2000058,COMERCIALIZER,2025-01-21 17:54:32.376 +0100,2025-01-21 17:54:32.376 +0100
3170,2000058,COMERCIALIZER,2025-01-21 17:54:32.640 +0100,2025-01-21 17:54:32.640 +0100
2201,2000006,COMERCIALIZER,2023-06-01 14:33:04.486 +0200,2023-06-01 14:33:04.486 +0200
3172,2000155,COMERCIALIZER,2025-01-21 17:54:32.889 +0100,2025-01-21 17:54:32.889 +0100
3174,2000104,COMERCIALIZER,2025-01-21 17:54:33.114 +0100,2025-01-21 17:54:33.114 +0100
3176,2000104,COMERCIALIZER,2025-01-21 17:54:33.326 +0100,2025-01-21 17:54:33.326 +0100
3178,2000228,COMERCIALIZER,2025-01-21 17:54:33.614 +0100,2025-01-21 17:54:33.614 +0100
13543,2000028,COMERCIALIZER,2025-01-21 17:54:33.867 +0100,2025-01-21 17:54:33.867 +0100
3261,2000058,COMERCIALIZER,2025-01-21 17:54:42.957 +0100,2025-01-21 17:54:42.957 +0100
